clip_id,provider,accent,tier,domain,duration,wer,drug_mentions,drug_correct,drug_substitution,drug_deletion,doses,dose_correct,dose_value_error,dose_unit_error,dose_missing,negation_cues,negation_preserved,negation_lost
6b6bd6a9b36dbd20ca8ba0b48a0e83c0,aai,igbo,A,clinical,15.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0
6beb2687f186291440c994f823236222,aai,igbo,A,clinical,7.561995464852607,0.0,0,0,0,0,0,0,0,0,0,1,1,0
6d8bcf78963a218d83e6514022c3bfbd,aai,nembe,B,clinical,6.014988662131518,0.2,0,0,0,0,0,0,0,0,0,0,0,0
6df3ac41f44b547ed01c14cca6e07142,aai,kinyarwanda,B,clinical,11.108979591836734,0.0,1,1,0,0,0,0,0,0,0,0,0,0
6dfb3c7d7c44a0fa82fd35cf7b94e239,aai,pidgin,B,clinical,12.152,0.18518518518518517,0,0,0,0,0,0,0,0,0,1,1,0
6f4df41f65cb3bc1a951f0277c7b80f2,aai,angas,C,clinical,10.13,0.0,0,0,0,0,0,0,0,0,0,1,1,0
718546c938f593549d7ffd1649434328,aai,tswana,B,clinical,24.14299319727891,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0,0
71a02c51cf938a571f90748316897775,aai,pidgin,B,clinical,4.703990929705215,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,1,0
723a3ec3156f72ef6828899f45206964,aai,swahili,A,clinical,5.850997732426304,0.0,0,0,0,0,0,0,0,0,0,1,1,0
725b8d8321a1685407b896624a741d82,aai,urhobo,B,clinical,8.87498866213152,0.2,0,0,0,0,0,0,0,0,0,0,0,0
740097459dffea7514558527c4f0bec7,aai,jukun,C,clinical,11.84,0.0,0,0,0,0,0,0,0,0,0,0,0,0
741c693e00ab4b2bd2fc3bc6ab3e8012,aai,igala,B,clinical,8.340997732426304,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0
75b69526057d0cd656a09edae54921a7,aai,twi,B,clinical,8.818979591836733,0.0,0,0,0,0,0,0,0,0,0,0,0,0
795fbbcc55dad655ff683752f4b1030c,aai,brass,C,clinical,6.696984126984128,0.18181818181818182,0,0,0,0,1,1,0,0,0,0,0,0
796f61c973ea9e398d6e61d525aa5995,aai,eggon,C,general,9.66498866213152,0.0,0,0,0,0,0,0,0,0,0,1,1,0
79fc4fcd5b516d1eb53d23875b4af44a,aai,kalabari,C,clinical,23.0,0.05,1,1,0,0,0,0,0,0,0,2,2,0
7abb65293b6eb423ce5ca2b5a9f238f2,aai,igbo,A,general,20.133990929705213,0.0,0,0,0,0,0,0,0,0,0,1,1,0
7ac2b7f21b9550f6de49f8047e0c0e19,aai,luo,C,clinical,17.048979591836734,0.0,2,2,0,0,0,0,0,0,0,0,0,0
7ad13a1008d4186fe4da2865ae07757c,aai,ebiobo,C,clinical,9.525986394557822,0.05555555555555555,0,0,0,0,0,0,0,0,0,0,0,0
7af04897c7229728b4ee63de71d1b373,aai,kiswahili,B,clinical,6.488979591836735,0.0,1,1,0,0,0,0,0,0,0,0,0,0
